type,adaptation_index,adaptation_index_n,isi_adapt_ratio,isi_adapt_ratio_n,tau,tau_n,fi_slope,fi_slope_n,rheobase,rheobase_n,input_resistance,input_resistance_n
pyr,0.06866648495443528,1539.0,1.830558451114445,1472.0,0.02196290359610676,2413.0,1.32406693549879e-13,1659.0,1.26e-10,1659.0,157541595.39937973,2516.0
pvalb,0.0019237645614337457,586.0,1.0484956809109156,578.0,0.00633804541489268,1258.0,7.928746934736999e-13,600.0,2.31e-10,600.0,90578675.27008057,1383.0
sst,0.05706247900027771,708.0,1.7438946188946418,662.0,0.023205886831445754,1259.0,3.533333262125642e-13,759.0,1e-10,759.0,230837166.3093567,1394.0
vip,0.055246114347925965,451.0,1.550277050648091,386.0,0.02010433126013995,726.0,2.1782557288440964e-13,493.0,5e-11,493.0,352778404.9510956,790.0
