type,model,tau_a_median_s,tau_a_p25_s,tau_a_p75_s,adaptation_index_median,n_cells_fit,n_sweeps_fit,n_experiments
pyr,single,0.057838522380262464,0.05122016818403932,0.10639221205136452,0.045445667720341504,12,48,3
pvalb,single,0.24278847086980604,0.13370705758112789,0.35299881272944783,0.002673015850244464,8,41,3
sst,single,0.04548201357082396,0.036713606582939366,0.060141115716553485,0.08404012577677615,10,56,3
vip,single,0.05981742941329725,0.03569606857899877,0.11578248511539393,0.04830698682194068,12,44,4
