metric,pre,post,value,n
ml_facilitation_tau,pyr,vip,0.04876054616817901,18
ml_facilitation_tau,pvalb,pyr,0.022081790273476246,97
ml_facilitation_tau,pvalb,pvalb,0.022081790273476246,246
ml_facilitation_tau,pvalb,sst,0.03542116822082762,18
ml_facilitation_tau,pvalb,vip,0.03542116822082762,8
ml_facilitation_tau,sst,pyr,0.022081790273476246,65
ml_facilitation_tau,sst,pvalb,0.23775908626191167,63
ml_facilitation_tau,sst,sst,0.10767201541058846,51
ml_facilitation_tau,sst,vip,0.5250146278448881,44
ml_facilitation_tau,vip,pyr,0.05883600770529423,2
ml_facilitation_tau,vip,pvalb,0.12992043826769395,10
ml_facilitation_tau,vip,sst,0.23775908626191167,31
ml_facilitation_tau,vip,vip,0.04876054616817901,13
ml_depression_amount,pyr,pyr,0.375,225
ml_depression_amount,pyr,pvalb,0.375,84
ml_depression_amount,pyr,sst,0.375,77
ml_depression_amount,pyr,vip,0.125,18
ml_depression_amount,pvalb,pyr,0.375,97
ml_depression_amount,pvalb,pvalb,0.25,246
ml_depression_amount,pvalb,sst,0.25,18
ml_depression_amount,pvalb,vip,-0.375,8
ml_depression_amount,sst,pyr,0.625,65
ml_depression_amount,sst,pvalb,0.375,63
ml_depression_amount,sst,sst,0.375,51
ml_depression_amount,sst,vip,0.125,44
ml_depression_amount,vip,pyr,-0.0625,2
ml_depression_amount,vip,pvalb,-0.3125,10
ml_depression_amount,vip,sst,0.0,31
ml_depression_amount,vip,vip,0.5,13
ml_depression_tau,pyr,pyr,0.23775908626191167,225
ml_depression_tau,pyr,pvalb,0.23775908626191167,84
ml_depression_tau,pyr,sst,0.04876054616817901,77
ml_depression_tau,pyr,vip,0.10767201541058846,18
ml_depression_tau,pvalb,pyr,0.23775908626191167,97
ml_depression_tau,pvalb,pvalb,0.23775908626191167,246
ml_depression_tau,pvalb,sst,0.23775908626191167,18
ml_depression_tau,pvalb,vip,0.23775908626191167,8
ml_depression_tau,sst,pyr,0.10767201541058846,65
ml_depression_tau,sst,pvalb,0.10767201541058846,63
ml_depression_tau,sst,sst,0.10767201541058846,51
ml_depression_tau,sst,vip,0.04876054616817901,44
ml_depression_tau,vip,pyr,0.04876054616817901,2
ml_depression_tau,vip,pvalb,0.17271555083625006,10
ml_depression_tau,vip,sst,0.022081790273476246,31
ml_depression_tau,vip,vip,0.10767201541058846,13
ml_release_prob,pyr,pyr,0.19684194472866118,225
ml_release_prob,pyr,pvalb,0.15013107289081734,84
ml_release_prob,pyr,sst,0.03874675120456131,77
