,pyr,pvalb,sst,vip
pyr,0.045754644557039766,0.1532567049808429,0.10895361380798274,0.03546099290780142
pvalb,0.208955223880597,0.2510460251046025,0.0411663807890223,0.0297951582867784
sst,0.10613207547169812,0.13297872340425532,0.03477396920019871,0.14343434343434344
vip,0.0065040650406504065,0.021359223300970873,0.08695652173913043,0.018800358102059087
