,pyr,pvalb,sst,vip
pyr,0.06001263247752527,0.20604628022164026,0.1430436533366653,0.049883279843534405
pvalb,0.28744334425267837,0.3746518944580116,0.05834512432251009,0.03998030879498189
sst,0.1379854145199923,0.19094351073604168,0.04740994578933682,0.2038645142501614
vip,0.009046914613130097,0.029431159531573377,0.12318429570645169,0.028038181411740075
