pre_class,pyr,pvalb,sst,vip
pyr,0.23775908626191167,0.23775908626191167,0.04876054616817901,0.10767201541058846
pvalb,0.23775908626191167,0.23775908626191167,0.23775908626191167,0.23775908626191167
sst,0.10767201541058846,0.10767201541058846,0.10767201541058846,0.04876054616817901
vip,0.04876054616817901,0.17271555083625006,0.022081790273476246,0.10767201541058846
