pre_class,pyr,pvalb,sst,vip
pyr,0.375,0.375,0.375,0.125
pvalb,0.375,0.25,0.25,-0.375
sst,0.625,0.375,0.375,0.125
vip,-0.0625,-0.3125,0.0,0.5
